label,species_code,inat_taxon_id,inat2021_label,nabirds_labels,common_name,scientific_name,family,order,wikipedia_id,inat_taxon_id_cor,xeno_canto_names
0,cangoo,7089,3226,57 457,Canada Goose,Branta canadensis,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Canada goose,7089,Branta canadensis
1,wooduc,7107,3188,81 314 613,Wood Duck,Aix sponsa,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Wood duck,7107,Aix sponsa
2,mallar3,6930,3201,102 317 616,Mallard,Anas platyrhynchos,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Mallard,6930,Anas platyrhynchos
3,hoomer,7109,3250,225 335 634,Hooded Merganser,Lophodytes cucullatus,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Hooded merganser,7109,Lophodytes cucullatus
4,moudov,3454,3547,171 529,Mourning Dove,Zenaida macroura,Columbidae (Pigeons and Doves),Columbiformes,Mourning dove,3454,Zenaida macroura
5,rthhum,6432,3307,107 373 672,Ruby-throated Hummingbird,Archilochus colubris,Trochilidae (Hummingbirds),Caprimulgiformes,Ruby-throated hummingbird,6432,Archilochus colubris
6,killde,4793,3363,30 504,Killdeer,Charadrius vociferus,Charadriidae (Plovers and Lapwings),Charadriiformes,Killdeer,4793,Charadrius vociferus
7,grbher3,4956,4359,58 480,Great Blue Heron,Ardea herodias,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,Great blue heron,4956,Ardea herodias
8,grnher,5020,4371,160 485,Green Heron,Butorides virescens,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,Green heron,5020,Butorides virescens
9,shshaw,5097,3115,135 357 656,Sharp-shinned Hawk,Accipiter striatus,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,Sharp-shinned hawk,5097,Accipiter striatus
10,coohaw,5112,3112,155 358 657,Cooper's Hawk,Accipiter cooperii,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,Cooper's hawk,1579017,Accipiter cooperii
11,rethaw,5212,3127,210 299 497 700,Red-tailed Hawk,Buteo jamaicensis,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,Red-tailed hawk,5212,Buteo jamaicensis
12,grhowl,20044,4549,111 539,Great Horned Owl,Bubo virginianus,Strigidae (Owls),Strigiformes,Great horned owl,20044,Bubo virginianus
13,yebsap,18463,4466,112 554,Yellow-bellied Sapsucker,Sphyrapicus varius,Picidae (Woodpeckers),Piciformes,Yellow-bellied sapsucker,18463,Sphyrapicus varius
14,rebwoo,18205,4450,95 553,Red-bellied Woodpecker,Melanerpes carolinus,Picidae (Woodpeckers),Piciformes,Red-bellied woodpecker,18205,Melanerpes carolinus
15,dowwoo,792988,4442,188 559,Downy Woodpecker,Dryobates pubescens,Picidae (Woodpeckers),Piciformes,Downy woodpecker,792988,Dryobates pubescens
16,haiwoo,792990,4444,206 560,Hairy Woodpecker,Dryobates villosus,Picidae (Woodpeckers),Piciformes,Hairy woodpecker,792990,Leuconotopicus villosus
17,pilwoo,17855,4447,230 561,Pileated Woodpecker,Dryocopus pileatus,Picidae (Woodpeckers),Piciformes,Pileated woodpecker,17855,Dryocopus pileatus
18,norfli,18236,4427,216 382 681,Northern Flicker,Colaptes auratus,Picidae (Woodpeckers),Piciformes,Northern flicker,18236,Colaptes auratus
19,amekes,4665,3604,94 363 662,American Kestrel,Falco sparverius,Falconidae (Falcons and Caracaras),Falconiformes,American kestrel,4665,Falco sparverius
20,easpho,17008,4324,420 929,Eastern Phoebe,Sayornis phoebe,Tyrannidae (Tyrant Flycatchers),Passeriformes,Eastern phoebe,17008,Sayornis phoebe
21,reevir1,891704,4346,733 947,Red-eyed Vireo,Vireo olivaceus,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Passeriformes,Red-eyed vireo,891704,Vireo olivaceus
22,blujay,8229,3761,286 950,Blue Jay,Cyanocitta cristata,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,Blue jay,8229,Cyanocitta cristata
23,amecro,8021,3749,683 957 695 799,American Crow,Corvus brachyrhynchos,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,American crow,8021,Corvus brachyrhynchos
24,comrav,8010,3751,739 802,Common Raven,Corvus corax,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,Common raven,8010,Corvus corax
25,bkcchi,144815,4037,278 812,Black-capped Chickadee,Poecile atricapillus,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,Black-capped chickadee,144815,Poecile atricapillus
26,tuftit,13632,4027,717 819,Tufted Titmouse,Baeolophus bicolor,"Paridae (Tits, Chickadees, and Titmice)",Passeriformes,Tufted titmouse,13632,Baeolophus bicolor
27,treswa,11935,3864,287 804,Tree Swallow,Tachycineta bicolor,Hirundinidae (Swallows),Passeriformes,Tree swallow,11935,Tachycineta bicolor
28,barswa,11901,3849,730 810,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Barn swallow,11901,Hirundo rustica
29,whbnut,14801,4187,413 824,White-breasted Nuthatch,Sitta carolinensis,Sittidae (Nuthatches),Passeriformes,White-breasted nuthatch,14801,Sitta carolinensis
30,houwre,7562,4262,572 832,House Wren,Troglodytes aedon,Troglodytidae (Wrens),Passeriformes,Northern house wren,7562,Troglodytes aedon
